Zone;Unit;Period 1;Period 2;Period 3;Period 4
zone 1;gas boiler;6;6;6;6
zone 1;gas chp;7.2;7.2;7.2;7.2
zone 1;biomass boiler;0;0;1.8;1.8
zone 1;geothermal hp;0;0;0;9
zone 2;gas boiler;4;4;4;4
zone 2;gas chp;6;6;6;6
zone 2;biomass boiler;0;0;0;4.8
zone 3;gas boiler;8;8;8;8
zone 3;gas chp;9;9;9;9
zone 3;biomass boiler;0;0;0;6.6
zone 3;hydrothermal hp;0;0;0;0
zone 3;industrial waste heat;3;3;3;3
zone 4;gas boiler;11.2;11.2;11.2;11.2
zone 4;gas chp;7.8;7.8;7.8;7.8
zone 4;geothermal hp;0;0;0;10.457338815
zone 5;gas boiler;0;0;0;0
zone 5;gas chp;0;0;4;4
zone 5;biomass boiler;0;0;0;2.14266118
zone 5;geothermal hp;0;0;0;0
zone 5;industrial waste heat;12;12;12;12
dhn;c1<->c2;0;0;0;0
dhn;c1<->c4;0;0;0;0
dhn;c1<->c5;0;0;0;0
dhn;c2<->c3;0;0;0;0
dhn;c2<->c4;0;0;0;0
dhn;c3<->c4;0;0;0;0
dhn;c3<->c5;0;0;0;0
dhn;c4<->c5;8.4;8.4;8.4;8.4
zone 1;gas boiler;0;0;0;2.8;0;0;0;4.8;0;0;0;6;0;0;0;0;
zone 1;gas chp;6;1.5;3;7.2;7.2;1.8;3.6;7.2;7.2;2.3;4.5;7.2;0;0;0;7.2;
zone 1;biomass boiler;0;0;0;0;0;0;0;0;1.8;0;0;1.8;1.8;1.8;1.8;1.8;
zone 1;geothermal hp;0;0;0;0;0;0;0;0;0;0;0;0;9;0.9;3.6;9;
zone 2;gas boiler;0;0;0;3;0;0;0;4;0;0;0;3;0;0;0;0;
zone 2;gas chp;5.4;1.4;2.7;6;6;1.5;3;6;5.4;1.4;2.7;6;0;0;0;3.2;
zone 2;biomass boiler;0;0;0;0;0;0;0;0;0;0;0;0;4.8;1.2;2.4;4.8;
zone 3;gas boiler;0;0;0;8;0;0;0;8;0;0;0;6;0;0;0;0;
zone 3;gas chp;9;0;3;9;9;0;3;9;7.8;0;2.4;9;0;0;0;6.4;
zone 3;biomass boiler;0;0;0;0;0;0;0;0;0;0;0;0;6.6;0;1.8;6.6;
zone 3;hydrothermal hp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
zone 3;industrial waste heat;3;3;3;3;3;3;3;3;3;2.7;3;3;3;2.4;3;3;
zone 4;gas boiler;0;0;0;11.2;0;0;0;11.2;0;0;0;11.2;0;0;0;0;
zone 4;gas chp;6.6;0;0;7.8;7.8;0;0;7.8;7.8;0;3.4;7.8;0;0;0;7.54266118;
zone 4;geothermal hp;0;0;0;0;0;0;0;0;0;0;0;0;10.457338815;0;2.657338815;10.457338815;
zone 5;gas boiler;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
zone 5;gas chp;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;2.85733882;
zone 5;biomass boiler;0;0;0;0;0;0;0;0;0;0;0;0;2.14266118;0.9;2.14266118;2.14266118;
zone 5;geothermal hp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
zone 5;incinerator;4;4;1.3;4;4;4;4;4;3;3;3;3;3;3;3;3;
zone 5;industrial waste heat;8;0.7;8;8;5;0.2;4.4;5;2;1.2;2;2;0;0;0;0;
dhn;c1->c2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
dhn;c1->c4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
dhn;c1->c5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
dhn;c2->c3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
dhn;c2->c4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
dhn;c3->c4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
dhn;c3->c5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
dhn;c4->c5;0;0;0;0;0;0;0;0;0;0;0;7.4;0;0;0;0;
dhn;c2->c1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
dhn;c4->c1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
dhn;c5->c1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
dhn;c3->c2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
dhn;c4->c2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
dhn;c4->c3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
dhn;c5->c3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
dhn;c5->c4;8.4;3.8;7.5;6;5.4;3.3;6.6;3;4.2;3;2.6;8.4;0.3426612;2.7;2.7426612;0;
;gas;60;6.444444444;19.333333333;92.98245614;66.666666667;7.333333333;21.333333333;96.140350877;71.555555556;8.222222222;28.888888889;103.134502924;0;0;0;60.444444444;
;biomass;0;0;0;0;0;0;0;0;2.117647059;0;0;2.117647059;18.050189623;4.588235294;9.579601388;18.050189623;
;electricity import;0;0;0;0;0;0;0;0;0;0;0;0;4.323853071;0.2;1.390519738;0;
;electricity export;0;0;0;0;0;0;0;0;0;0;0;0;4.323853071;0.2;1.390519738;0;
